id,user_id,brand,model,license_plate,connector_type,battery_capacity_kwh,is_default,created_at,updated_at
veh-001,usr-001,Hyundai,Ioniq 5,B 1234 EV,CCS2,72.60,true,2026-07-01 08:05:00+07,2026-07-01 08:05:00+07
veh-002,usr-002,Wuling,Air ev,B 5678 EV,TYPE2,17.30,true,2026-07-03 09:20:00+07,2026-07-03 09:20:00+07
veh-003,usr-003,Tesla,Model 3,B 9012 EV,CCS2,75.00,true,2026-07-05 10:35:00+07,2026-07-05 10:35:00+07
veh-004,usr-004,BYD,Atto 3,B 3456 EV,CCS2,60.48,true,2026-07-07 11:50:00+07,2026-07-07 11:50:00+07
veh-005,usr-005,Toyota,bZ4X,B 7890 EV,TYPE2,71.40,true,2026-07-10 13:05:00+07,2026-07-10 13:05:00+07
veh-006,usr-006,Nissan,Leaf,B 2345 EV,CHADEMO,40.00,true,2026-07-12 14:25:00+07,2026-07-12 14:25:00+07
veh-007,usr-007,BMW,iX3,B 6789 EV,CCS2,74.00,true,2026-07-15 15:35:00+07,2026-07-15 15:35:00+07
veh-008,usr-008,MG,ZS EV,B 0123 EV,CCS2,50.30,true,2026-07-18 08:05:00+07,2026-07-18 08:05:00+07
veh-009,usr-009,Hyundai,Kona Electric,B 4567 EV,CCS2,64.00,true,2026-07-20 09:35:00+07,2026-07-20 09:35:00+07
veh-010,usr-010,Wuling,Almaz RS EV,B 8901 EV,TYPE2,84.00,true,2026-07-22 10:05:00+07,2026-07-22 10:05:00+07
